,Grapheme,Phoneme
0,اشاره ، پنجاهمين سالگرد تاسيس سازمان پيمان آتلانتيك شمالي ، ناتو ، در ماه آوريل هزار وَ نُهصد وَ نود وَ نُه با شركت سران كشورهاي عضو برگزار شد,"]e./re pan,/homin s/lgarde1 ta]sise1 s/zem/ne1 peym/ne1 ]/tl/ntike1 .om/li n/to dar m/he1 ]/vrile1 hez/r va nohsad va navad va noh b/ .erkate1 sar/ne1 ke.varh/ye1 ]ozv bargoz/r .od
"
1,اين سازمان پس از گذراندن چهل سال دوران جنگ سرد و ده سال دوران پس از پايان جنگ سرد ، همچنان به‌عنوان مهم‌ترين نهاد امنيتي غرب به حيات خود ادامه مي‌دهد,"]in s/zem/n pas ]az gozar/ndane1 'ehel s/l dor/ne1 ,ange1 sard va dah s/l dor/ne1 pas ]az p/y/ne1 ,ange1 sard ham'en/n be ]onv/ne1 mohemtarin nah/de1 ]amniyatie1 qarb be hay/te1 xod ]ed/me midahad
"
2,اين مقاله پس از بررسي چگونگي تشكيل ، اهداف و تعهدات ناتو ، به تحولات اين سازمان در پنجاه سال گذشته مي‌پردازد,"]in maq/le pas ]az barrasie1 'egunegie1 ta.kil ]ahd/f va ta]ahhod/te1 n/to be tahavvol/te1 ]in s/zem/n dar pan,/h s/le1 goza.te mipard/zad
"
3,با توجه به اهميت دوران پس از جنگ سرد و مطرح شدن بحث‌هاي مختلف در مورد نقش ناتو پس از فروپاشي اتحاد جماهير شوروي و در واقع در پي از بين رفتن علت وجودي آن ، در اين مقاله تحولات اين سازمان در دهه‌ي اخير بيشتر مد نظر قرار گرفته است,"b/ tava,,oh be ]ahammiyate1 dor/ne1 pas ]az ,ange1 sard va matrah .odane1 bahsh/ye1 moxtalef dar morede1 naq.e1 n/to pas ]az forup/.ie1 ]etteh/de1 ,am/hire1 .oravi va darv/qe] dar peye1 ]az beyn raftane1 ]ellate1 vo,udie1 ]/n dar ]in maq/le tahavvol/te1 ]in s/zem/n dar daheye1 ]axir bi.tar madde1 nazar qar/r gerefte ]ast
"
4,هنگامي‌كه رئيس‌جمهور جديد اندونزي پيشنهاد برگزاري همه‌پرسي براي استقلال آچه را ارائه داد ، انتظار بروز آشوب در اين ايالت را نداشت,"heng/mike ra]is,omhure1 ,adide1 ]andonezi pi.neh/de1 bargoz/rie1 hameporsi bar/ye ]esteql/le1 ]/'e r/ ]er/]e d/d ]entez/re1 boruze1 ]/.ub dar ]in ]ey/lat r/ nad/.t
"
5,ايالت آچه از دهه هزار وَ نُهصد وَ هفتاد فرياد جدايي از خاك اندونزي را سر داده‌است,"]ey/late1 ]/'e ]az daheye1 hez/r va nohsad va haft/d fary/de1 ,od/]i ]az x/ke1 ]andonezi r/ sar d/de ]ast
"
6,اگر مردم آچه به جدايي از اندونزي راي دهند ، هيچ تدبيري براي آنچه كه بعداً رخ خواهد داد ، نينديشيده‌اند,"]agar mardome1 ]/'e be ,od/]i ]az ]andonezi ra]y dahand hi' tadbiri bar/ye ]/n'e ke ba]dan rox x/had d/d nayandi.ide]and
"
7,رئيس مجلس اندونزي ، احتمال اين‌كه مردم آچه بخواهند تي‌مور شرقي را سرمشق خود قرار دهند و استقلال كامل را انتخاب كنند ، زياد است,"ra]ise1 ma,lese1 ]andonezi ]ehtem/le1 ]in ke mardome1 ]/'e bex/hand timore1 .arqi r/ sarma.qe1 xod qar/r dahand va ]esteql/le1 k/mel r/ ]entex/b konand ziy/d ]ast
"
8,سازمان آتلانتيك شمالي يك پيمان نظامي محسوب مي‌شود ، ولي اين سازمان براي گسترش همكاري‌هاي سياسي ، اقتصادي و اجتماعي بين دولت‌هاي عضو نيز موجباتي را فراهم كرده است,"s/zem/ne1 ]/tl/ntike1 .om/li yek peym/ne1 nez/mi mahsub mi.avad vali ]in s/zem/n bar/ye gostare.e1 hamk/rih/ye1 siy/si ]eqtes/di va ]e,tem/]i beyne1 dolath/ye1 ]ozv niz mo,eb/ti r/ far/ham karde ]ast
"
9,در پي تحولات نظام بين‌المللي پس از پايان جنگ سرد ، از جمله فروپاشي اتحاد جماهير شوروي و انحلال پيمان ورشو در اوايل دهه هزار وَ نُهصد وَ نود ، تغييراتي در ساختار ناتو ، بويژه در بخش فرماندهي عالي نظامي ايجاد شد,"dar peye1 tahavvol/te1 nez/me1 beynolmelali pas ]az p/y/ne1 ,ange1 sard ]az ,omle forup/.ie1 ]etteh/de1 ,am/hire1 .oravi va ]enhel/le1 peym/ne1 var.o dar ]av/yele1 daheye1 hez/r va nohsad va navad taqyir/ti dar s/xt/re1 n/to bevi[e dar bax.e1 farm/ndehie1 ]/lie1 nez/mi ]i,/d .od
"
